                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6567,                 1.8395,                 2.1442,                0.39034,                0.51515,                0.34933,                 0.1682,                 1.6284,                 2.2227,                 2.3571,              0.0018693,              0.0018693,              0.0018693
                     35,                 1.6505,                  1.822,                 2.1427,                0.66904,                0.39394,                0.57679,                0.25159,                 1.9104,                 1.9058,                 2.5457,              0.0018654,              0.0018654,              0.0018654
                     36,                 1.6213,                 1.7157,                  2.096,                0.78221,                0.54423,                0.65919,                 0.3666,                 1.7303,                 1.6803,                  2.372,              0.0018614,              0.0018614,              0.0018614
                     37,                 1.6512,                 1.7779,                 2.1305,                 0.6321,                0.63636,                0.61272,                0.29103,                 1.8308,                 1.6313,                 2.5002,              0.0018574,              0.0018574,              0.0018574
                     38,                 1.5724,                 1.7248,                   2.08,                0.77078,                0.51515,                0.67438,                0.34801,                 1.7094,                 1.6678,                 2.3072,              0.0018535,              0.0018535,              0.0018535
                     39,                 1.5904,                 1.7261,                 2.0621,                0.72687,                0.57576,                  0.667,                0.35217,                 1.6158,                 1.7242,                 2.2281,              0.0018495,              0.0018495,              0.0018495
                     40,                 1.6059,                 1.7456,                 2.0839,                0.76575,                0.69351,                0.73008,                0.39317,                 1.6295,                 1.5184,                 2.2729,              0.0018456,              0.0018456,              0.0018456
                     41,                 1.5396,                 1.6751,                 2.0383,                0.78163,                0.57576,                0.69713,                  0.408,                 1.7076,                 1.5557,                 2.2754,              0.0018416,              0.0018416,              0.0018416
                     42,                 1.5298,                 1.6185,                 2.0399,                0.53281,                0.63636,                0.56469,                0.29024,                 1.6621,                 1.6892,                 2.3113,              0.0018376,              0.0018376,              0.0018376
                     43,                 1.5962,                 1.7105,                 2.0749,                0.76561,                0.66667,                0.71804,                0.37616,                 1.7158,                  1.453,                 2.3561,              0.0018337,              0.0018337,              0.0018337
                     44,                 1.5707,                 1.6836,                 2.0553,                0.60787,                0.70478,                0.70555,                 0.3482,                 1.7865,                 1.6019,                 2.3874,              0.0018297,              0.0018297,              0.0018297
                     45,                 1.5736,                 1.6756,                  2.034,                0.71523,                0.69697,                0.76997,                0.37336,                 1.6088,                 1.8262,                  2.292,              0.0018258,              0.0018258,              0.0018258
                     46,                 1.4936,                 1.6343,                 1.9902,                0.65577,                0.75758,                0.75422,                0.42708,                 1.4418,                 1.3617,                 2.1739,              0.0018218,              0.0018218,              0.0018218
                     47,                 1.5201,                 1.6099,                 2.0103,                0.54856,                0.63636,                0.67888,                0.42198,                 1.4618,                 1.5371,                 2.2146,              0.0018178,              0.0018178,              0.0018178
                     48,                 1.5234,                 1.6248,                 2.0126,                0.68868,                 0.6034,                0.65359,                0.30122,                 1.8519,                 1.6971,                 2.5474,              0.0018139,              0.0018139,              0.0018139
                     49,                 1.5089,                 1.6043,                 2.0017,                0.78491,                0.55314,                0.65742,                0.33479,                 1.6559,                 1.6223,                 2.3568,              0.0018099,              0.0018099,              0.0018099
                     50,                 1.5204,                 1.6042,                 2.0171,                0.73515,                0.66667,                0.74393,                0.39605,                 1.5694,                 1.5437,                 2.2915,               0.001806,               0.001806,               0.001806
                     51,                 1.4824,                 1.5727,                 1.9837,                0.70835,                0.63636,                0.73321,                0.36797,                  1.644,                 1.4859,                  2.262,               0.001802,               0.001802,               0.001802
                     52,                 1.4975,                 1.6028,                 1.9838,                0.79954,                0.72524,                0.76842,                0.46336,                 1.3272,                 1.3943,                 2.0745,               0.001798,               0.001798,               0.001798
                     53,                 1.4843,                 1.6144,                 1.9733,                0.86239,                0.56996,                0.70184,                0.37384,                 1.5187,                 1.6696,                 2.1919,              0.0017941,              0.0017941,              0.0017941
                     54,                 1.4678,                  1.559,                 1.9513,                0.77658,                0.81818,                0.82938,                0.46891,                 1.4354,                 1.3172,                 2.1195,              0.0017901,              0.0017901,              0.0017901
                     55,                 1.4372,                 1.5407,                 1.9176,                0.83406,                0.57576,                0.77893,                0.41305,                  1.521,                 1.3949,                 2.1945,              0.0017862,              0.0017862,              0.0017862
                     56,                 1.4692,                 1.5238,                 1.9562,                0.86035,                0.63636,                0.78944,                0.46439,                 1.5149,                 1.4244,                 2.1951,              0.0017822,              0.0017822,              0.0017822
                     57,                 1.4661,                 1.5151,                 1.9426,                0.71364,                0.66667,                 0.7084,                0.39289,                 1.5288,                  1.543,                 2.2544,              0.0017782,              0.0017782,              0.0017782
                     58,                 1.4098,                 1.4576,                 1.9134,                0.74431,                0.70591,                0.77291,                0.45209,                 1.5013,                 1.4083,                 2.2236,              0.0017743,              0.0017743,              0.0017743
                     59,                 1.4292,                 1.4995,                 1.9146,                0.61538,                0.66667,                0.65751,                 0.3727,                 1.5022,                  1.608,                 2.1984,              0.0017703,              0.0017703,              0.0017703
                     60,                 1.4068,                 1.4578,                 1.9312,                0.81171,                0.78394,                0.81995,                0.51762,                 1.3557,                 1.2227,                 2.0502,              0.0017664,              0.0017664,              0.0017664
                     61,                 1.4138,                 1.4607,                 1.9137,                0.84085,                0.51515,                0.70601,                0.42935,                 1.4185,                 1.4279,                 2.0702,              0.0017624,              0.0017624,              0.0017624
                     62,                 1.4371,                  1.481,                 1.9223,                0.55695,                0.76195,                0.66534,                0.35948,                   1.44,                 1.5076,                 2.1822,              0.0017584,              0.0017584,              0.0017584
                     63,                 1.3835,                 1.4921,                 1.8915,                0.81217,                0.72727,                 0.7303,                 0.4126,                  1.524,                 1.4331,                 2.2109,              0.0017545,              0.0017545,              0.0017545
                     64,                 1.4093,                  1.488,                 1.9123,                0.60902,                0.61381,                0.56409,                0.29591,                 1.6891,                 1.9203,                 2.3376,              0.0017505,              0.0017505,              0.0017505
                     65,                 1.4237,                 1.4843,                 1.9262,                0.87657,                0.64589,                0.77636,                0.43373,                 1.4647,                 1.4875,                 2.2338,              0.0017466,              0.0017466,              0.0017466
                     66,                 1.3392,                 1.4392,                 1.8553,                0.67158,                0.57576,                0.62079,                0.39414,                 1.4232,                 1.4837,                 2.2042,              0.0017426,              0.0017426,              0.0017426
                     67,                 1.3443,                 1.4268,                 1.8637,                 0.7663,                0.72727,                0.75988,                0.49432,                 1.3834,                 1.3716,                 2.0673,              0.0017386,              0.0017386,              0.0017386
                     68,                 1.3772,                 1.4346,                    1.9,                0.82663,                0.75758,                0.83434,                0.52721,                 1.3508,                  1.272,                 2.0571,              0.0017347,              0.0017347,              0.0017347
                     69,                 1.4216,                 1.5017,                 1.9142,                0.57617,                0.78788,                0.63812,                0.40334,                 1.3356,                 1.6118,                 2.0309,              0.0017307,              0.0017307,              0.0017307
